Region;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
RK;16 440 470;16 673 933;16 910 246;17 160 855;17 415 715;17 669 896;17 918 214;18 157 337;18 395 567;18 631 779;18 879 552;19 503 159;19 766 807
Abay;;;;;;;;;;;;611 888;610 198
Akmol;733 281;731 399;732 768;735 612;736 560;744 420;734 369;738 942;738 587;736 735;735 566;785 708;788 013
Aktiub;777 501;786 390;795 871;808 985;822 557;834 808;845 679;857 711;869 637;881 651;894 333;916 750;928 159
Almat;1 872 844;1 908 785;1 946 831;1 984 572;1 921 888;1 947 552;1 983 465;2 017 278;2 038 935;2 055 724;2 077 967;1 478 496;1 505 896
Atyr;532 033;542 959;555 199;567 831;581 389;594 511;607 528;620 684;633 791;645 280;657 110;681 241;693 079
Zap-K;608 334;612 581;617 735;624 085;630 056;636 980;641 513;646 927;652 325;656 844;661 316;683 327;688 127
Zhamb;1 046 260;1 055 822;1 069 785;1 084 369;1 098 489;1 110 749;1 115 307;1 117 218;1 125 440;1 130 099;1 139 192;1 209 665;1 218 158
Zhetisu;;;;;;;;;;;;698 757;698 726
Karagan;1 352 217;1 357 969;1 362 777;1 369 658;1 378 121;1 384 810;1 382 734;1 380 537;1 378 532;1 376 882;1 375 938;1 134 966;1 134 855
Kostan;881 656;879 635;880 116;880 968;881 569;883 806;879 134;875 616;872 795;868 549;864 550;835 686;832 234
Kyzyl;700 511;712 899;726 692;739 726;753 001;765 058;773 143;783 157;794 335;803 531;814 588;823 251;833 666
Mangis;524 185;545 789;567 770;587 431;606 843;626 774;642 824;660 317;678 199;698 796;719 571;745 909;767 106
Pavlod;746 224;747 167;749 201;752 914;755 793;758 594;757 014;754 854;753 853;752 169;751 012;756 511;754 944
Sev-K;589 421;583 772;579 700;575 945;571 830;569 594;563 300;558 584;554 517;548 755;543 735;539 111;534 104
Turkes**;2 567 611;2 621 472;2 678 739;2 733 053;2 787 906;2 840 871;1 966 336;1 977 028;1 983 969;2 016 037;2 044 742;2 088 510;2 119 226
Ulytau;;;;;;;;;;;;220 913;221 421
Vos-K;1 398 078;1 395 060;1 394 068;1 394 388;1 395 466;1 396 019;1 389 568;1 383 745;1 378 527;1 369 597;1 363 797;732 966;730 238
Ast;697 162;742 868;778 145;814 419;852 803;872 584;972 692;1 030 577;1 078 384;1 136 156;1 184 411;1 295 711;1 354 556
Alm;1 413 152;1 449 366;1 474 849;1 506 899;1 641 444;1 702 766;1 751 308;1 801 993;1 854 656;1 916 822;1 977 258;2 101 485;2 161 902
Shym;;;;;;;912 300;952 169;1 009 085;1 038 152;1 074 466;1 162 308;1 192 199
