Region;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
RK;61 196;65 844;69 111;72 574;75 712;79 662;83 462;86 956;91 573;94 660;98 254;104 260
Abay;;;;;;;;;;;;2 668
Akmol;2 314;2 434;2 463;2 506;2 585;2 654;2 749;2 796;2 885;2 970;3 077;3 232
Aktiub;2 691;2 502;2 616;2 748;2 908;3 231;3 520;3 735;4 016;4 227;4 428;4 774
Almat;7 060;7 581;8 022;8 269;8 396;8 284;8 350;8 507;8 757;8 698;8 953;6 755
Atyr;2 335;2 419;2 570;2 743;2 846;3 061;3 282;3 342;3 580;3 726;3 922;4 147
Zap-K;2 965;2 525;2 542;2 597;2 545;2 569;2 622;2 654;2 750;2 801;2 866;2 965
Zhamb;4 084;4 441;4 728;5 036;5 330;5 620;5 892;6 116;6 511;6 615;6 658;6 784
Zhetisu;;;;;;;;;;;;2 876
Karagan;4 624;4 669;4 771;4 834;4 884;4 965;5 058;5 110;5 291;5 368;5 478;4 808
Kostan;2 204;2 275;2 316;2 411;2 478;2 594;2 720;2 796;2 956;3 081;3 231;3 304
Kyzyl;3 624;3 823;3 927;4 144;4 444;4 807;4 872;4 942;5 010;5 205;5 513;5 969
Mangis;2 498;2 813;3 086;3 372;3 626;4 070;4 600;5 115;5 831;6 287;6 601;6 997
Pavlod;2 608;2 690;2 736;2 717;2 660;2 612;2 670;2 746;2 874;2 978;3 123;3 425
Sev-K;2 108;2 092;2 074;2 074;2 103;2 097;2 081;2 100;2 172;2 196;2 236;2 333
Turkes**;12 127;14 617;15 507;16 376;17 286;18 434;19 194;14 331;14 558;14 737;14 883;14 829
Ulytau;;;;;;;;;;;;928
Vos-K;4 248;4 401;4 504;4 639;4 760;4 901;5 130;5 278;5 463;5 451;5 593;3 142
Ast;1 841;2 446;2 866;3 266;3 624;4 072;4 644;5 316;5 937;6 610;7 188;8 201
Alm;3 865;4 116;4 383;4 842;5 237;5 691;6 078;6 486;6 968;7 364;7 841;8 600
Shym;;;;;;;;5 586;6 014;6 346;6 663;7 523
